Destination,State,Terrain,Remoteness_1to5,Area_Risk_Level,Num_People,Time_of_Visit,Mode_of_Travel,Age,Gender,Purpose,Inside_Restricted_Zone,Weather,Connectivity,Distance_to_Safe_Zone_km,Distance_to_High_Risk_Zone_km,Risk_Score,Safety_Score
Cherrapunji,Meghalaya,Plateau,3,Medium,4,Day,Cab,18-25,Female,Trekking,1,Clear,Moderate,5.35,1.87,0.664,High
Gangtok,Sikkim,City,1,Low,5,Night,Cab,46+,Female,Pilgrimage,0,Clear,Good,0.87,1.64,0.32,Medium
Sela Pass,Arunachal Pradesh,High Pass,5,High,5,Day,Bus,26-35,Male,Sightseeing,1,Clear,Poor,6.25,0.95,0.853,Extreme
Kamakhya Temple,Assam,Temple,1,Low,3,Day,Trekking,18-25,Female,Pilgrimage,0,Clear,Good,1.36,2.65,0.301,Medium
Manas National Park,Assam,Wildlife,4,High,4,Night,Bus,46+,Male,Pilgrimage,1,Rain,Poor,6.24,1.02,1,Extreme
Cherrapunji,Meghalaya,Plateau,3,Medium,3,Day,Bus,46+,Female,Trekking,0,Clear,Moderate,3.96,1.47,0.453,Medium
Cherrapunji,Meghalaya,Plateau,3,Medium,4,Night,Cab,18-25,Female,Night Stay,0,Clear,Moderate,5.91,0.94,0.631,High
Imphal,Manipur,City,1,Low,4,Night,Cab,36-45,Male,Night Stay,0,Clear,Good,0.64,1.11,0.377,Medium
Majuli Island,Assam,Island,3,Medium,4,Day,Bus,18-25,Female,Sightseeing,0,Fog,Moderate,5.45,1.51,0.433,Medium
Sandakphu,West Bengal,Trek Peak,4,High,4,Day,Bus,18-25,Female,Pilgrimage,0,Clear,Poor,9.84,0.39,0.676,High
Kohima,Nagaland,City,1,Low,5,Night,Cab,26-35,Female,Night Stay,0,Clear,Good,0.69,2.63,0.37,Medium
Nathula Pass,Sikkim,High Pass,5,High,5,Day,Bus,46+,Male,Sightseeing,1,Clear,Poor,8.96,0.84,0.867,Extreme
Majuli Island,Assam,Island,3,Medium,5,Day,Bus,36-45,Female,Pilgrimage,0,Clear,Moderate,4.06,1.74,0.373,Medium
Cherrapunji,Meghalaya,Plateau,3,Medium,3,Day,Bus,46+,Male,Pilgrimage,0,Rain,Moderate,5.63,2.35,0.484,Medium
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,3,Day,Trekking,36-45,Female,Trekking,0,Fog,Good,1.53,2.65,0.43,Medium
Tripura Sundari Temple,Tripura,Temple,1,Low,3,Day,Bike,36-45,Female,Trekking,0,Rain,Good,0.87,0.57,0.382,Medium
Sandakphu,West Bengal,Trek Peak,4,High,3,Day,Cab,46+,Female,Sightseeing,0,Clear,Poor,6.94,0.87,0.685,High
Sandakphu,West Bengal,Trek Peak,4,High,3,Day,Cab,18-25,Male,Sightseeing,0,Rain,Poor,11.28,1.04,0.803,Extreme
Shillong,Meghalaya,Hill City,2,Low,4,Day,Cab,26-35,Male,Sightseeing,0,Clear,Good,1.13,2.71,0.168,Low
Kohima,Nagaland,City,1,Low,5,Day,Bus,36-45,Female,Trekking,0,Rain,Good,1.19,1.52,0.213,Low
Imphal,Manipur,City,1,Low,4,Day,Bus,18-25,Female,Pilgrimage,0,Clear,Good,0.86,1.69,0.114,Low
Manas National Park,Assam,Wildlife,4,High,4,Night,Cab,18-25,Male,Night Stay,0,Rain,Poor,10.69,0.27,1,Extreme
Aizawl,Mizoram,City,1,Low,3,Night,Bike,18-25,Female,Night Stay,0,Clear,Good,2.65,0.9,0.515,High
Tripura Sundari Temple,Tripura,Temple,1,Low,5,Night,Bus,18-25,Female,Sightseeing,0,Rain,Good,2.6,2.29,0.409,Medium
Cherrapunji,Meghalaya,Plateau,3,Medium,4,Night,Bus,36-45,Male,Night Stay,0,Clear,Moderate,4.78,1.95,0.621,High
Darjeeling,West Bengal,Hill Town,2,Low,3,Day,Cab,26-35,Male,Pilgrimage,0,Rain,Good,1.12,2.28,0.294,Medium
Shillong,Meghalaya,Hill City,2,Low,4,Day,Bus,46+,Female,Pilgrimage,0,Clear,Good,2.57,2.5,0.164,Low
Cherrapunji,Meghalaya,Plateau,3,Medium,1,Day,Bike,46+,Female,Trekking,0,Clear,Moderate,2.91,0.4,0.599,High
Cherrapunji,Meghalaya,Plateau,3,Medium,5,Day,Cab,18-25,Female,Pilgrimage,0,Clear,Moderate,4.27,0.23,0.375,Medium
Darjeeling,West Bengal,Hill Town,2,Low,5,Day,Cab,46+,Male,Trekking,0,Clear,Good,1.22,1.74,0.218,Low
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,3,Day,Cab,36-45,Male,Pilgrimage,0,Fog,Good,1.15,2.04,0.261,Medium
Darjeeling,West Bengal,Hill Town,2,Low,2,Day,Trekking,18-25,Male,Pilgrimage,0,Rain,Good,2.28,2.27,0.384,Medium
Kamakhya Temple,Assam,Temple,1,Low,5,Night,Bus,18-25,Male,Night Stay,0,Rain,Good,2.18,2.51,0.458,Medium
Kaziranga National Park,Assam,Wildlife,4,High,5,Night,Bus,36-45,Female,Night Stay,0,Clear,Poor,5.29,0.35,0.87,Extreme
Kohima,Nagaland,City,1,Low,3,Day,Cab,46+,Male,Sightseeing,0,Rain,Good,0.61,0.82,0.255,Medium
Imphal,Manipur,City,1,Low,5,Night,Bus,46+,Female,Night Stay,0,Fog,Good,2.73,1.29,0.427,Medium
Shillong,Meghalaya,Hill City,2,Low,3,Day,Cab,46+,Male,Trekking,0,Fog,Good,2.26,1.59,0.334,Medium
Manas National Park,Assam,Wildlife,4,High,4,Day,Cab,46+,Female,Pilgrimage,1,Clear,Poor,7.45,0.39,0.885,Extreme
Gangtok,Sikkim,City,1,Low,4,Day,Cab,26-35,Male,Trekking,0,Clear,Good,2.72,0.56,0.196,Low
Aizawl,Mizoram,City,1,Low,3,Day,Bike,36-45,Male,Night Stay,0,Clear,Good,2.89,1.99,0.353,Medium
Darjeeling,West Bengal,Hill Town,2,Low,5,Night,Bus,36-45,Male,Trekking,0,Clear,Good,2.36,1.87,0.374,Medium
Gangtok,Sikkim,City,1,Low,2,Night,Bus,26-35,Male,Pilgrimage,0,Fog,Good,1.51,2.12,0.405,Medium
Nathula Pass,Sikkim,High Pass,5,High,5,Night,Bus,46+,Female,Night Stay,1,Clear,Poor,7.57,0.38,1,Extreme
Gangtok,Sikkim,City,1,Low,5,Day,Bus,46+,Male,Pilgrimage,0,Clear,Good,0.6,1.35,0.085,Low
Shillong,Meghalaya,Hill City,2,Low,4,Day,Cab,46+,Male,Night Stay,0,Clear,Good,2.96,2.21,0.227,Low
Tripura Sundari Temple,Tripura,Temple,1,Low,5,Day,Bus,36-45,Male,Sightseeing,0,Rain,Good,1.66,2.3,0.186,Low
Majuli Island,Assam,Island,3,Medium,3,Day,Trekking,18-25,Male,Pilgrimage,1,Clear,Moderate,5.51,0.88,0.725,High
Darjeeling,West Bengal,Hill Town,2,Low,3,Day,Trekking,36-45,Female,Trekking,0,Clear,Good,0.77,1.84,0.337,Medium
Cherrapunji,Meghalaya,Plateau,3,Medium,5,Night,Cab,46+,Female,Pilgrimage,0,Clear,Moderate,4.47,2.44,0.594,High
Aizawl,Mizoram,City,1,Low,2,Day,Cab,36-45,Male,Trekking,0,Clear,Good,0.97,0.57,0.196,Low
Sela Pass,Arunachal Pradesh,High Pass,5,High,3,Day,Cab,46+,Male,Sightseeing,1,Rain,Poor,6.16,0.31,1,Extreme
Sandakphu,West Bengal,Trek Peak,4,High,3,Day,Bike,18-25,Female,Trekking,1,Rain,Poor,5.06,0.98,1,Extreme
Sandakphu,West Bengal,Trek Peak,4,High,4,Day,Cab,36-45,Male,Pilgrimage,0,Clear,Poor,11.34,1.31,0.682,High
Kaziranga National Park,Assam,Wildlife,4,High,3,Day,Trekking,46+,Female,Sightseeing,1,Clear,Poor,9.36,1,1,Extreme
Cherrapunji,Meghalaya,Plateau,3,Medium,4,Day,Bus,36-45,Male,Pilgrimage,0,Rain,Moderate,3.36,1.58,0.459,Medium
Shillong,Meghalaya,Hill City,2,Low,5,Day,Cab,36-45,Female,Pilgrimage,0,Clear,Good,2.5,2.61,0.16,Low
Majuli Island,Assam,Island,3,Medium,3,Day,Cab,46+,Male,Trekking,0,Clear,Moderate,5.98,0.9,0.461,Medium
Kaziranga National Park,Assam,Wildlife,4,High,5,Day,Cab,36-45,Female,Night Stay,0,Clear,Poor,10.65,0.57,0.708,High
Sela Pass,Arunachal Pradesh,High Pass,5,High,5,Night,Cab,46+,Female,Night Stay,0,Rain,Poor,11.27,1.29,1,Extreme
Kamakhya Temple,Assam,Temple,1,Low,5,Day,Cab,18-25,Female,Pilgrimage,0,Clear,Good,2.02,2.65,0.139,Low
Kamakhya Temple,Assam,Temple,1,Low,5,Day,Bus,26-35,Male,Trekking,0,Clear,Good,1.76,2.33,0.168,Low
Kohima,Nagaland,City,1,Low,4,Day,Cab,26-35,Male,Trekking,0,Clear,Good,2.52,1.35,0.18,Low
Imphal,Manipur,City,1,Low,3,Night,Cab,46+,Female,Trekking,0,Clear,Good,2.5,1.53,0.426,Medium
Imphal,Manipur,City,1,Low,5,Day,Bus,18-25,Female,Trekking,0,Rain,Good,1.35,1.5,0.229,Low
Aizawl,Mizoram,City,1,Low,5,Night,Cab,18-25,Male,Sightseeing,0,Rain,Good,2.93,1.55,0.418,Medium
Nathula Pass,Sikkim,High Pass,5,High,5,Night,Cab,36-45,Female,Sightseeing,1,Rain,Poor,7.83,1,1,Extreme
Darjeeling,West Bengal,Hill Town,2,Low,5,Day,Bus,36-45,Female,Trekking,0,Clear,Good,2.3,2.7,0.2,Low
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,5,Day,Bus,18-25,Female,Night Stay,0,Rain,Good,1.98,1.1,0.27,Medium
Kamakhya Temple,Assam,Temple,1,Low,5,Night,Bus,18-25,Female,Night Stay,0,Rain,Good,0.81,1.24,0.425,Medium
Sela Pass,Arunachal Pradesh,High Pass,5,High,3,Night,Bus,26-35,Female,Night Stay,0,Clear,Poor,8.64,0.45,0.971,Extreme
Imphal,Manipur,City,1,Low,5,Night,Bus,46+,Male,Trekking,0,Clear,Good,2.72,1.69,0.355,Medium
Aizawl,Mizoram,City,1,Low,5,Night,Cab,46+,Female,Pilgrimage,0,Clear,Good,2.33,1.54,0.327,Medium
Sandakphu,West Bengal,Trek Peak,4,High,5,Day,Bus,46+,Male,Sightseeing,1,Clear,Poor,8.91,1.39,0.863,Extreme
Kamakhya Temple,Assam,Temple,1,Low,1,Day,Trekking,18-25,Female,Night Stay,0,Rain,Good,1.26,1.71,0.439,Medium
Tripura Sundari Temple,Tripura,Temple,1,Low,3,Night,Trekking,18-25,Female,Night Stay,0,Clear,Good,1.37,2.68,0.537,High
Darjeeling,West Bengal,Hill Town,2,Low,5,Day,Bus,36-45,Female,Pilgrimage,0,Clear,Good,2.09,2.4,0.13,Low
Kohima,Nagaland,City,1,Low,3,Day,Trekking,18-25,Female,Pilgrimage,0,Clear,Good,2.73,2.34,0.302,Medium
Kaziranga National Park,Assam,Wildlife,4,High,3,Day,Cab,36-45,Male,Sightseeing,0,Clear,Poor,8.65,1.15,0.695,High
Cherrapunji,Meghalaya,Plateau,3,Medium,3,Day,Bike,18-25,Female,Trekking,0,Clear,Moderate,5.23,1.6,0.564,High
Kaziranga National Park,Assam,Wildlife,4,High,4,Night,Bus,36-45,Female,Trekking,1,Clear,Poor,5.8,0.24,1,Extreme
Gangtok,Sikkim,City,1,Low,5,Night,Bus,18-25,Male,Night Stay,0,Clear,Good,0.95,2.28,0.341,Medium
Shillong,Meghalaya,Hill City,2,Low,4,Night,Bus,46+,Female,Night Stay,0,Clear,Good,2.38,1.97,0.422,Medium
Aizawl,Mizoram,City,1,Low,3,Day,Cab,18-25,Female,Sightseeing,1,Clear,Good,2.08,2.78,0.39,Medium
Kamakhya Temple,Assam,Temple,1,Low,4,Night,Cab,26-35,Male,Night Stay,0,Clear,Good,2.46,0.86,0.378,Medium
Sela Pass,Arunachal Pradesh,High Pass,5,High,1,Day,Cab,46+,Female,Sightseeing,1,Fog,Poor,11.8,0.1,1,Extreme
Gangtok,Sikkim,City,1,Low,5,Day,Bus,46+,Female,Trekking,0,Clear,Good,1.91,1.25,0.137,Low
Shillong,Meghalaya,Hill City,2,Low,5,Night,Bus,36-45,Female,Trekking,0,Rain,Good,1.36,1.15,0.456,Medium
Sela Pass,Arunachal Pradesh,High Pass,5,High,4,Day,Bus,36-45,Female,Trekking,0,Clear,Poor,9.53,0.1,0.755,Extreme
Cherrapunji,Meghalaya,Plateau,3,Medium,4,Day,Cab,46+,Female,Pilgrimage,1,Clear,Moderate,2.12,2.11,0.599,High
Imphal,Manipur,City,1,Low,3,Day,Bus,46+,Female,Pilgrimage,1,Clear,Good,1.66,2.84,0.356,Medium
Kaziranga National Park,Assam,Wildlife,4,High,2,Day,Trekking,36-45,Female,Trekking,0,Fog,Poor,6.55,1.47,0.899,Extreme
Sandakphu,West Bengal,Trek Peak,4,High,5,Day,Bus,26-35,Male,Trekking,1,Clear,Poor,8.5,0.34,0.895,Extreme
Cherrapunji,Meghalaya,Plateau,3,Medium,2,Night,Bike,18-25,Male,Sightseeing,0,Rain,Moderate,4.92,0.83,0.784,Extreme
Gangtok,Sikkim,City,1,Low,5,Night,Bus,46+,Male,Pilgrimage,0,Clear,Good,1.58,2.99,0.325,Medium
Darjeeling,West Bengal,Hill Town,2,Low,5,Day,Bus,46+,Female,Sightseeing,0,Clear,Good,1.62,0.51,0.106,Low
Kaziranga National Park,Assam,Wildlife,4,High,5,Day,Bus,26-35,Female,Sightseeing,1,Clear,Poor,9.38,0.14,0.819,Extreme
Kohima,Nagaland,City,1,Low,4,Night,Cab,36-45,Male,Sightseeing,0,Clear,Good,1.8,1.09,0.344,Medium
Darjeeling,West Bengal,Hill Town,2,Low,2,Day,Cab,18-25,Female,Sightseeing,0,Clear,Good,2.62,0.66,0.216,Low
Darjeeling,West Bengal,Hill Town,2,Low,2,Day,Trekking,18-25,Female,Pilgrimage,0,Rain,Good,1.45,0.74,0.364,Medium
Kaziranga National Park,Assam,Wildlife,4,High,5,Night,Cab,46+,Female,Pilgrimage,1,Clear,Poor,11.56,1.2,1,Extreme
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,5,Day,Cab,18-25,Male,Sightseeing,0,Clear,Good,1.93,2.09,0.157,Low
Darjeeling,West Bengal,Hill Town,2,Low,5,Day,Bus,26-35,Male,Trekking,0,Clear,Good,2.9,2.39,0.214,Low
Shillong,Meghalaya,Hill City,2,Low,5,Night,Cab,26-35,Female,Night Stay,0,Clear,Good,2.14,0.86,0.412,Medium
Manas National Park,Assam,Wildlife,4,High,5,Day,Bus,46+,Female,Trekking,1,Clear,Poor,6.33,0.77,0.878,Extreme
Kohima,Nagaland,City,1,Low,3,Day,Cab,36-45,Female,Pilgrimage,0,Clear,Good,2.8,2.1,0.184,Low
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,5,Night,Bus,26-35,Female,Night Stay,0,Clear,Good,0.52,0.52,0.37,Medium
Shillong,Meghalaya,Hill City,2,Low,5,Night,Bus,36-45,Female,Trekking,0,Clear,Good,1,1.21,0.368,Medium
Cherrapunji,Meghalaya,Plateau,3,Medium,3,Day,Trekking,36-45,Male,Trekking,0,Clear,Moderate,2.08,1.76,0.579,High
Kamakhya Temple,Assam,Temple,1,Low,4,Night,Bus,36-45,Male,Night Stay,0,Clear,Good,1.82,2.5,0.381,Medium
Majuli Island,Assam,Island,3,Medium,5,Day,Bus,18-25,Male,Trekking,0,Clear,Moderate,4.4,2.45,0.398,Medium
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,3,Night,Trekking,36-45,Male,Night Stay,0,Rain,Good,2.63,2.92,0.641,High
Majuli Island,Assam,Island,3,Medium,4,Night,Cab,46+,Male,Trekking,0,Clear,Moderate,3.99,1.27,0.638,High
Sandakphu,West Bengal,Trek Peak,4,High,5,Night,Cab,46+,Female,Night Stay,0,Clear,Poor,6.45,1.35,0.895,Extreme
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,4,Night,Bus,36-45,Female,Pilgrimage,0,Clear,Good,0.84,0.71,0.335,Medium
Manas National Park,Assam,Wildlife,4,High,4,Day,Bus,46+,Female,Pilgrimage,0,Clear,Poor,6.91,0.13,0.636,High
Majuli Island,Assam,Island,3,Medium,5,Night,Cab,36-45,Male,Night Stay,0,Clear,Moderate,5.71,0.43,0.604,High
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,3,Night,Trekking,36-45,Male,Night Stay,0,Rain,Good,2.01,0.84,0.637,High
Gangtok,Sikkim,City,1,Low,5,Night,Bus,18-25,Female,Night Stay,0,Clear,Good,1.95,2.14,0.362,Medium
Shillong,Meghalaya,Hill City,2,Low,5,Day,Bus,46+,Male,Trekking,0,Rain,Good,1.88,1.67,0.26,Medium
Majuli Island,Assam,Island,3,Medium,5,Day,Bus,36-45,Male,Pilgrimage,0,Clear,Moderate,4.23,1.06,0.337,Medium
Kaziranga National Park,Assam,Wildlife,4,High,3,Night,Bus,46+,Female,Night Stay,0,Clear,Poor,9.83,0.52,0.947,Extreme
Manas National Park,Assam,Wildlife,4,High,4,Night,Cab,26-35,Male,Night Stay,0,Fog,Poor,7.74,0.63,0.968,Extreme
Aizawl,Mizoram,City,1,Low,3,Night,Trekking,26-35,Female,Sightseeing,0,Clear,Good,0.76,1.88,0.48,Medium
Sandakphu,West Bengal,Trek Peak,4,High,2,Night,Bus,18-25,Male,Trekking,1,Clear,Poor,9.62,0.2,1,Extreme
Cherrapunji,Meghalaya,Plateau,3,Medium,3,Day,Bike,36-45,Female,Pilgrimage,0,Rain,Moderate,2.28,2.4,0.591,High
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,3,Day,Trekking,36-45,Female,Pilgrimage,0,Clear,Good,1.76,2.21,0.291,Medium
Shillong,Meghalaya,Hill City,2,Low,5,Day,Bus,46+,Male,Pilgrimage,0,Clear,Good,1.73,1.66,0.119,Low
Darjeeling,West Bengal,Hill Town,2,Low,5,Day,Bus,36-45,Female,Pilgrimage,0,Clear,Good,2.75,2.33,0.163,Low
Cherrapunji,Meghalaya,Plateau,3,Medium,3,Night,Bus,18-25,Female,Sightseeing,0,Clear,Moderate,3.17,2.31,0.618,High
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,5,Day,Bus,46+,Female,Sightseeing,0,Clear,Good,1.32,1.63,0.133,Low
Darjeeling,West Bengal,Hill Town,2,Low,4,Day,Cab,18-25,Male,Pilgrimage,0,Fog,Good,0.53,0.79,0.214,Low
Darjeeling,West Bengal,Hill Town,2,Low,2,Day,Bus,46+,Female,Sightseeing,0,Clear,Good,1.68,1.2,0.194,Low
Kamakhya Temple,Assam,Temple,1,Low,4,Day,Bus,26-35,Female,Sightseeing,0,Clear,Good,2.19,0.88,0.108,Low
Manas National Park,Assam,Wildlife,4,High,5,Day,Cab,26-35,Female,Sightseeing,0,Clear,Poor,11.28,0.65,0.655,High
Kaziranga National Park,Assam,Wildlife,4,High,5,Day,Bus,18-25,Female,Trekking,1,Clear,Poor,7.95,1.49,0.882,Extreme
Majuli Island,Assam,Island,3,Medium,5,Day,Bus,26-35,Male,Trekking,0,Clear,Moderate,3.29,1.64,0.42,Medium
Aizawl,Mizoram,City,1,Low,3,Day,Cab,46+,Male,Trekking,0,Clear,Good,1.29,1.47,0.204,Low
Gangtok,Sikkim,City,1,Low,5,Day,Cab,36-45,Male,Sightseeing,0,Rain,Good,2.98,2.28,0.235,Low
Cherrapunji,Meghalaya,Plateau,3,Medium,5,Night,Cab,36-45,Male,Night Stay,0,Clear,Moderate,4.77,0.96,0.639,High
Kohima,Nagaland,City,1,Low,1,Night,Trekking,46+,Male,Night Stay,0,Rain,Good,2.35,1.76,0.89,Extreme
Kaziranga National Park,Assam,Wildlife,4,High,5,Night,Cab,18-25,Female,Trekking,1,Clear,Poor,7.62,0.52,1,Extreme
Manas National Park,Assam,Wildlife,4,High,2,Night,Cab,26-35,Female,Night Stay,0,Clear,Poor,11.84,1.01,0.96,Extreme
Kohima,Nagaland,City,1,Low,4,Night,Cab,36-45,Male,Trekking,0,Clear,Good,2.22,2.3,0.399,Medium
Kohima,Nagaland,City,1,Low,2,Day,Bus,26-35,Female,Sightseeing,0,Clear,Good,2.98,2.85,0.16,Low
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,5,Day,Cab,26-35,Male,Pilgrimage,0,Clear,Good,0.94,1.12,0.144,Low
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,5,Day,Bus,36-45,Female,Sightseeing,0,Clear,Good,1.56,2.02,0.124,Low
Sandakphu,West Bengal,Trek Peak,4,High,5,Day,Cab,18-25,Female,Pilgrimage,0,Clear,Poor,6.07,1.12,0.65,High
Darjeeling,West Bengal,Hill Town,2,Low,2,Day,Bike,36-45,Female,Pilgrimage,0,Rain,Good,2.79,0.51,0.388,Medium
Imphal,Manipur,City,1,Low,5,Night,Bus,46+,Female,Pilgrimage,0,Clear,Good,2.1,1.97,0.292,Medium
Kamakhya Temple,Assam,Temple,1,Low,5,Night,Cab,46+,Male,Trekking,0,Clear,Good,1.37,2.27,0.374,Medium
Manas National Park,Assam,Wildlife,4,High,3,Day,Bus,46+,Female,Trekking,0,Clear,Poor,9.73,1.08,0.74,High
Darjeeling,West Bengal,Hill Town,2,Low,5,Night,Cab,26-35,Female,Trekking,1,Fog,Good,2.43,2.11,0.669,High
Majuli Island,Assam,Island,3,Medium,5,Day,Bus,26-35,Female,Trekking,0,Clear,Moderate,4.63,1.08,0.4,Medium
Majuli Island,Assam,Island,3,Medium,3,Day,Trekking,18-25,Female,Trekking,0,Clear,Moderate,2.03,0.59,0.54,High
Tripura Sundari Temple,Tripura,Temple,1,Low,3,Day,Bus,46+,Female,Pilgrimage,0,Clear,Good,0.95,2.87,0.176,Low
Cherrapunji,Meghalaya,Plateau,3,Medium,5,Day,Cab,26-35,Male,Trekking,0,Clear,Moderate,3.76,2.3,0.437,Medium
Majuli Island,Assam,Island,3,Medium,2,Day,Cab,36-45,Male,Pilgrimage,0,Clear,Moderate,3.91,1.75,0.409,Medium
Kaziranga National Park,Assam,Wildlife,4,High,4,Day,Cab,18-25,Male,Trekking,0,Clear,Poor,10.33,1.4,0.739,High
Tripura Sundari Temple,Tripura,Temple,1,Low,5,Night,Cab,36-45,Female,Night Stay,0,Clear,Good,1.45,0.64,0.357,Medium
Kamakhya Temple,Assam,Temple,1,Low,5,Night,Bus,18-25,Female,Pilgrimage,0,Clear,Good,2.67,1.2,0.318,Medium
Imphal,Manipur,City,1,Low,5,Day,Cab,46+,Female,Pilgrimage,0,Rain,Good,1.31,2.08,0.226,Low
Kohima,Nagaland,City,1,Low,4,Day,Bus,46+,Male,Pilgrimage,0,Fog,Good,2.83,2.83,0.217,Low
Kamakhya Temple,Assam,Temple,1,Low,5,Night,Cab,46+,Female,Trekking,0,Clear,Good,2.29,0.58,0.351,Medium
Darjeeling,West Bengal,Hill Town,2,Low,4,Day,Bus,26-35,Female,Sightseeing,0,Clear,Good,2.86,2.25,0.187,Low
Kaziranga National Park,Assam,Wildlife,4,High,5,Day,Bus,26-35,Female,Pilgrimage,0,Clear,Poor,11.28,0.27,0.65,High
Sandakphu,West Bengal,Trek Peak,4,High,5,Night,Cab,18-25,Female,Trekking,0,Rain,Poor,7.64,1.1,0.984,Extreme
Tripura Sundari Temple,Tripura,Temple,1,Low,2,Day,Cab,26-35,Male,Night Stay,0,Fog,Good,1.98,0.97,0.283,Medium
Shillong,Meghalaya,Hill City,2,Low,3,Day,Bus,36-45,Female,Sightseeing,0,Clear,Good,2.95,1.3,0.195,Low
Shillong,Meghalaya,Hill City,2,Low,1,Night,Trekking,26-35,Male,Pilgrimage,0,Clear,Good,1.24,1.05,0.783,Extreme
Nathula Pass,Sikkim,High Pass,5,High,3,Night,Cab,26-35,Male,Night Stay,1,Clear,Poor,10.93,0.9,1,Extreme
Nathula Pass,Sikkim,High Pass,5,High,3,Night,Bus,46+,Male,Night Stay,0,Fog,Poor,6.58,1.13,1,Extreme
Sandakphu,West Bengal,Trek Peak,4,High,5,Day,Bus,46+,Female,Trekking,0,Clear,Poor,11.93,1.16,0.712,High
Nathula Pass,Sikkim,High Pass,5,High,2,Day,Cab,36-45,Male,Pilgrimage,0,Clear,Poor,9.97,0.74,0.733,High
Sandakphu,West Bengal,Trek Peak,4,High,3,Day,Cab,36-45,Male,Trekking,0,Rain,Poor,10.99,0.24,0.862,Extreme
Aizawl,Mizoram,City,1,Low,2,Night,Cab,46+,Male,Sightseeing,0,Clear,Good,2.95,2.13,0.405,Medium
Aizawl,Mizoram,City,1,Low,3,Day,Bus,26-35,Male,Sightseeing,0,Rain,Good,1.44,2.23,0.246,Low
Darjeeling,West Bengal,Hill Town,2,Low,4,Day,Bus,46+,Female,Pilgrimage,0,Clear,Good,2.17,1.77,0.161,Low
Sandakphu,West Bengal,Trek Peak,4,High,4,Night,Cab,36-45,Male,Trekking,1,Rain,Poor,5.88,0.56,1,Extreme
Cherrapunji,Meghalaya,Plateau,3,Medium,4,Day,Cab,46+,Male,Pilgrimage,0,Rain,Moderate,4.08,1.54,0.487,Medium
Kamakhya Temple,Assam,Temple,1,Low,5,Day,Bus,26-35,Male,Trekking,0,Clear,Good,1.29,0.6,0.149,Low
Majuli Island,Assam,Island,3,Medium,5,Day,Bus,36-45,Male,Sightseeing,0,Clear,Moderate,3.69,2.37,0.354,Medium
Nathula Pass,Sikkim,High Pass,5,High,5,Day,Cab,46+,Male,Pilgrimage,1,Clear,Poor,8.77,0.39,0.901,Extreme
Sela Pass,Arunachal Pradesh,High Pass,5,High,3,Night,Bike,18-25,Male,Trekking,0,Clear,Poor,6.51,0.6,1,Extreme
Majuli Island,Assam,Island,3,Medium,5,Day,Bus,36-45,Female,Pilgrimage,0,Clear,Moderate,4.71,2.36,0.355,Medium
Gangtok,Sikkim,City,1,Low,4,Day,Cab,26-35,Female,Trekking,0,Clear,Good,0.56,2.01,0.178,Low
Kamakhya Temple,Assam,Temple,1,Low,5,Night,Bus,46+,Male,Night Stay,0,Clear,Good,2.67,1.06,0.349,Medium
Sela Pass,Arunachal Pradesh,High Pass,5,High,3,Day,Cab,46+,Male,Sightseeing,0,Rain,Poor,8.43,0.84,0.835,Extreme
Gangtok,Sikkim,City,1,Low,3,Night,Cab,18-25,Male,Trekking,0,Clear,Good,2.19,2.47,0.451,Medium
Aizawl,Mizoram,City,1,Low,1,Night,Trekking,46+,Male,Night Stay,0,Clear,Good,1.45,2.34,0.84,Extreme
Imphal,Manipur,City,1,Low,3,Night,Bike,26-35,Female,Pilgrimage,0,Fog,Good,1.19,1.57,0.547,High
Sela Pass,Arunachal Pradesh,High Pass,5,High,4,Night,Bus,36-45,Male,Night Stay,1,Clear,Poor,10.11,1.42,1,Extreme
Nathula Pass,Sikkim,High Pass,5,High,5,Night,Bus,46+,Male,Pilgrimage,0,Clear,Poor,9.8,1.05,0.864,Extreme
Kaziranga National Park,Assam,Wildlife,4,High,5,Day,Bus,26-35,Male,Pilgrimage,0,Rain,Poor,11.66,1.25,0.742,High
Manas National Park,Assam,Wildlife,4,High,3,Day,Cab,46+,Male,Trekking,0,Clear,Poor,5.36,0.79,0.763,Extreme
Kohima,Nagaland,City,1,Low,3,Night,Bus,26-35,Male,Night Stay,1,Fog,Good,2.08,1.48,0.682,High
Manas National Park,Assam,Wildlife,4,High,4,Day,Bus,46+,Female,Sightseeing,0,Clear,Poor,5.04,1.35,0.643,High
Kamakhya Temple,Assam,Temple,1,Low,2,Day,Cab,46+,Female,Trekking,0,Clear,Good,1.72,0.89,0.207,Low
